489,538,506,482,484,528,565,529,520,455,509.6
1990,2159,1999,2080,1997,2150,2116,2149,2050,1762,2045.2
4491,4757,4782,4648,4471,4713,4647,4672,4666,4214,4606.1
8880,8062,8468,8302,8019,8283,8077,8508,8191,7225,8201.5
12910,12607,11763,12640,12867,13170,12688,12845,12568,11143,12520.1
18454,18116,17620,18004,17895,17056,18196,18340,18057,16703,17844.1
24460,25490,24926,25845,25168,25151,24793,25171,22958,23509,24747.1
32988,34179,32597,33532,32970,32283,30647,32741,29766,30997,32270
41670,40528,42787,41478,42512,42275,41289,40374,39450,37476,40983.9
51958,51293,52164,50834,49590,49892,51566,50671,48305,44398,50067.1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,50000,509.6
,,,,,,,,,100000,2045.2
,,,,,,,,,150000,4606.1
,,,,,,,,,200000,8201.5
,,,,,,,,,250000,12520.1
,,,,,,,,,300000,17844.1
,,,,,,,,,350000,24747.1
,,,,,,,,,400000,32270
,,,,,,,,,450000,40983.9
,,,,,,,,,500000,50067.1
