Sorting Algorithm,Bubble Sort,Counting Sort,Merge Sort,Quick Sort
Best Case,0.972495776,0.858294508,0.995819812,-
Worst Case,0.972289445,0.895479554,0.988992234,0.929110368
random_1,0.972383043,-,0.99918344,0.99918344
random_2,0.972345057,-,0.999408807,0.999408807
random_3,0.97263592,-,0.999015247,0.999015247
random_4,0.97249356,-,0.999245567,0.999245567
random_5,0.97261002,-,0.999383067,0.999383067
random_6,0.972647773,-,0.99926173,0.99926173
random_7,0.972563447,-,0.999353843,0.999353843
random_8,0.972734923,-,0.999049167,0.999049167
random_9,0.972655507,-,0.99902598,0.99902598
random_10,0.97414463,-,0.999330243,0.999330243
